User,Method,Rank,Item_ID,Score,Title
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),4,086690431X,4.6667,The Rulership Book
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),5,B08DCHK56L,4.6667,MACON: Book 4 of THE REVENGERS
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),6,1736012762,4.6667,Twentymile
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),7,B09QHHTK7P,4.6667,Politikill
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),8,B0056AEQVI,4.6667,Entrapped
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),9,B075X2GCLB,4.6667,1922
AE222DQMT4CHUOINFJDEIYWZJHJQ,Cascade (CB->CF),10,B077NW4SQS,4.6667,Trix
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),1,B01C2GFP5Y,4.375,The 3:00 a.m. Series (Books 1-5)
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),2,1982127791,4.375,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),3,1324001488,4.375,The Rationing: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),4,B07CT8VJPW,4.375,Cozen
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),5,B013L1QJ04,4.375,Death Most Wicked
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),6,B07TBBP6HK,4.375,Discovering Me: A Short Story
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),7,1462117287,4.375,The Cenote
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),8,150824412X,4.375,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),9,B08QDLXBCS,4.375,Love Death
AE222H3FGXWLHRFUMGMS2RR57NDQ,Cascade (CB->CF),10,1600108717,4.375,X-9: Secret Agent Corrigan Volume 2
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),1,B08QDLXBCS,3.8572,Love Death
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),2,150824412X,3.8572,It: A Novel
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),3,B00U1QRIHG,3.8571,Yolo 2: Murda Mami
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),4,B00GT1LVKW,3.8571,Shantaram: A Novel
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),5,B07CT8VJPW,3.8571,Cozen
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),6,1501143794,3.8571,Firestarter
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),7,B08YS4ZMNL,3.8571,Disavow
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),8,1501182099,3.8571,It: A Novel
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),9,B09FS9NS76,3.8571,d3vils
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Cascade (CB->CF),10,B005Q20OBM,3.8571,Reamde
