User,Method,Rank,Item_ID,Score,Title
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),8,B08YS3HNJX,2.8363,We Are 100
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),9,B00DZEWX4O,2.8324,3 Brinker Novels
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.5),10,1609101286,2.8316,Misawa: A Song of the Machi
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),1,1604542543,3.706,Wayland
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),2,B08K2LF179,3.706,The Bluejay Contrivance
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),3,B00BYEW02M,3.706,Shadowcursed
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),4,B08TG7P736,3.706,The Afterthoughts
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),5,B09FS9NS76,3.6909,d3vils
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),6,1933185066,3.6909,Affabel
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),7,B077NW4SQS,3.6909,Trix
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),8,B08YS3HNJX,3.6909,We Are 100
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),9,B00DZEWX4O,3.6853,3 Brinker Novels
AE2224D3S4GTKVFJ5V7ZRQJ7P4FQ,Weighted (alpha=0.7),10,1609101286,3.6843,Misawa: A Song of the Machi
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),1,1604542543,2.2785,Wayland
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),2,B08K2LF179,2.2785,The Bluejay Contrivance
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),3,B00BYEW02M,2.2785,Shadowcursed
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),4,B08TG7P736,2.2785,The Afterthoughts
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),5,1933185066,2.2726,Affabel
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),6,B077NW4SQS,2.2726,Trix
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),7,B08YS3HNJX,2.2726,We Are 100
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),8,B09FS9NS76,2.2726,d3vils
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),9,086690431X,2.2701,The Rulership Book
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.3),10,0441018882,2.2701,"Spellcrash (Ravirn, Book 5)"
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),1,1604542543,3.1864,Wayland
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),2,B08K2LF179,3.1864,The Bluejay Contrivance
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),3,B00BYEW02M,3.1864,Shadowcursed
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),4,B08TG7P736,3.1864,The Afterthoughts
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),5,1933185066,3.1766,Affabel
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),6,B09FS9NS76,3.1766,d3vils
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),7,B077NW4SQS,3.1766,Trix
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),8,B08YS3HNJX,3.1766,We Are 100
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),9,086690431X,3.1723,The Rulership Book
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.5),10,0441018882,3.1723,"Spellcrash (Ravirn, Book 5)"
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),1,1604542543,4.0943,Wayland
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),2,B08K2LF179,4.0943,The Bluejay Contrivance
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),3,B00BYEW02M,4.0943,Shadowcursed
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),4,B08TG7P736,4.0943,The Afterthoughts
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),5,1933185066,4.0806,Affabel
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),6,B09FS9NS76,4.0806,d3vils
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),7,B077NW4SQS,4.0806,Trix
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),8,B08YS3HNJX,4.0806,We Are 100
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),9,086690431X,4.0746,The Rulership Book
AE222DQMT4CHUOINFJDEIYWZJHJQ,Weighted (alpha=0.7),10,0441018882,4.0746,"Spellcrash (Ravirn, Book 5)"
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),1,1604542543,1.6423,Wayland
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),2,B08K2LF179,1.6423,The Bluejay Contrivance
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),3,B00BYEW02M,1.6423,Shadowcursed
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),4,B08TG7P736,1.6423,The Afterthoughts
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),5,1501175467,1.6362,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),6,1501182099,1.6362,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),7,1982127791,1.6362,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),8,150824412X,1.6362,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),9,B00DZEWX4O,1.6356,3 Brinker Novels
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.3),10,1933185066,1.6355,Affabel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),1,1604542543,2.1746,Wayland
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),2,B08K2LF179,2.1746,The Bluejay Contrivance
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),3,B00BYEW02M,2.1746,Shadowcursed
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),4,B08TG7P736,2.1746,The Afterthoughts
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),5,1501175467,2.1646,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),6,1501182099,2.1646,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),7,1982127791,2.1646,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),8,150824412X,2.1646,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),9,B00DZEWX4O,2.1636,3 Brinker Novels
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.5),10,B09FS9NS76,2.1633,d3vils
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),1,1604542543,2.7069,Wayland
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),2,B08K2LF179,2.7069,The Bluejay Contrivance
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),3,B00BYEW02M,2.7069,Shadowcursed
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),4,B08TG7P736,2.7069,The Afterthoughts
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),5,1501175467,2.6929,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),6,1501182099,2.6929,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),7,1982127791,2.6929,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),8,150824412X,2.6929,It: A Novel
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),9,B00DZEWX4O,2.6915,3 Brinker Novels
AE222H3FGXWLHRFUMGMS2RR57NDQ,Weighted (alpha=0.7),10,B09FS9NS76,2.6911,d3vils
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),1,1604542543,1.7495,Wayland
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),2,B08K2LF179,1.7495,The Bluejay Contrivance
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),3,B00BYEW02M,1.7495,Shadowcursed
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),4,B08TG7P736,1.7495,The Afterthoughts
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),5,B09FS9NS76,1.7428,d3vils
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),6,1933185066,1.7428,Affabel
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),7,B077NW4SQS,1.7428,Trix
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),8,B08YS3HNJX,1.7428,We Are 100
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),9,B074MGYBSG,1.7415,The Rebels of Cordovia
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.3),10,B01N1V3093,1.7403,The Final Day
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),1,1604542543,2.4397,Wayland
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),2,B08K2LF179,2.4397,The Bluejay Contrivance
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),3,B00BYEW02M,2.4397,Shadowcursed
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),4,B08TG7P736,2.4397,The Afterthoughts
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),5,B09FS9NS76,2.4284,d3vils
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),6,1933185066,2.4284,Affabel
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),7,B077NW4SQS,2.4284,Trix
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),8,B08YS3HNJX,2.4284,We Are 100
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),9,B074MGYBSG,2.4263,The Rebels of Cordovia
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.5),10,B01N1V3093,2.4244,The Final Day
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),1,1604542543,3.1299,Wayland
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),2,B08K2LF179,3.1299,The Bluejay Contrivance
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),3,B00BYEW02M,3.1299,Shadowcursed
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),4,B08TG7P736,3.1299,The Afterthoughts
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),5,B09FS9NS76,3.1141,d3vils
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),6,1933185066,3.1141,Affabel
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),7,B077NW4SQS,3.1141,Trix
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),8,B08YS3HNJX,3.1141,We Are 100
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),9,B074MGYBSG,3.1111,The Rebels of Cordovia
AE222SFRFOAFCUJ3DKA3MVPDP3IA,Weighted (alpha=0.7),10,B01N1V3093,3.1084,The Final Day
