User,Rank,Item_ID,Predicted_Rating,Title,Method
AE222DQMT4CHUOINFJDEIYWZJHJQ,6,031606792X,4.667,"Breaking Dawn (The Twilight Saga, Book 4)",SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,7,B00L9B7IKE,4.6669,The Girl on the Train: A Novel,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,8,B019DKO5BM,4.6669,The Woman in Cabin 10,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,9,B00EHMFBLA,4.6668,Switchblade: An Original Short Story,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,10,B00C5R7B0I,4.6668,Dust (Kay Scarpetta Book 21),SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,11,1338099132,4.6668,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,12,B0027MJU00,4.6668,Dark Places: A Novel,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,13,B00SRXKTBC,4.6668,Depraved Heart: A Scarpetta Novel (Kay Scarpetta Book 23),SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,14,B00IOE4JXS,4.6668,"The Secret Place (Dublin Murder Squad, Book 5)",SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,15,0964729237,4.6668,The Shack: Where Tragedy Confronts Eternity,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,16,B00BAXFAVK,4.6668,Cross My Heart (Alex Cross Book 21),SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,17,B07D2C6J4K,4.6667,The Silent Patient,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,18,B008TUQ60G,4.6667,Life After Life: A Novel,SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,19,0439023513,4.6667,Mockingjay (The Hunger Games),SVD (k=20)
AE222DQMT4CHUOINFJDEIYWZJHJQ,20,B00ICN2Z78,4.6667,Flesh and Blood: A Scarpetta Novel (Kay Scarpetta Book 22),SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,1,B01COJUEZ0,4.3885,A Gentleman in Moscow: A Novel,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,2,B00C2WDD5I,4.3814,"The Atlantis Gene: A Thriller (The Origin Mystery, Book 1)",SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,3,B00JO8PEN2,4.3781,The Nightingale: A Novel,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,4,B00AA20E5Y,4.3774,The Cuckoo's Calling (Cormoran Strike Book 1),SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,5,1607747308,4.3769,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,6,030758836X,4.3769,Gone Girl,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,7,B00DPM7TIG,4.3764,All the Light We Cannot See: A Novel,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,8,B00UEKRTW8,4.3764,Rogue Lawyer: A Novel,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,9,B072BLVM83,4.3762,Educated: A Memoir,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,10,0345803485,4.3761,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,11,B006LSZECO,4.376,Gone Girl: A Novel,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,12,B016ZNRC0Q,4.3758,The Butterfly Garden (The Collector Book 1),SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,13,B00EHMFBLA,4.3756,Switchblade: An Original Short Story,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,14,B00C5R7B0I,4.3756,Dust (Kay Scarpetta Book 21),SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,15,1594633665,4.3755,The Girl on the Train,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,16,B00L9B7IKE,4.3754,The Girl on the Train: A Novel,SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,17,1338099132,4.3754,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,18,B00BAXFAVK,4.3754,Cross My Heart (Alex Cross Book 21),SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,19,B00ICN2Z78,4.3753,Flesh and Blood: A Scarpetta Novel (Kay Scarpetta Book 22),SVD (k=20)
AE222H3FGXWLHRFUMGMS2RR57NDQ,20,B00IJJUIOM,4.3753,The Silkworm (Cormoran Strike Book 2),SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,1,1594633665,3.8627,The Girl on the Train,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,2,B00JO8PEN2,3.8609,The Nightingale: A Novel,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,3,0735219095,3.8599,Where the Crawdads Sing,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,4,1607747308,3.8599,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,5,030758836X,3.8589,Gone Girl,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,6,B00CNQ7HAU,3.8585,Sycamore Row: A Novel (Jake Brigance Book 2),SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,7,B01COJUEZ0,3.8583,A Gentleman in Moscow: A Novel,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,8,0399155341,3.858,The Help,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,9,0439023513,3.8578,Mockingjay (The Hunger Games),SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,10,B016ZNRC0Q,3.8577,The Butterfly Garden (The Collector Book 1),SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,11,0312577222,3.8577,The Nightingale: A Novel,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,12,1476746583,3.8577,All the Light We Cannot See,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,13,0439023491,3.8577,"Catching Fire (Hunger Games, Book Two): Volume 2",SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,14,0439023483,3.8576,The Hunger Games,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,15,0375842209,3.8576,The Book Thief,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,16,B072BLVM83,3.8575,Educated: A Memoir,SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,17,0307454541,3.8575,The Girl with the Dragon Tattoo (The Girl with the Dragon Tattoo Series),SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,18,B00YTXTIDO,3.8575,The Short Drop (Gibson Vaughn),SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,19,074324754X,3.8575,The Glass Castle: A Memoir (book),SVD (k=20)
AE222SFRFOAFCUJ3DKA3MVPDP3IA,20,1476738025,3.8574,A Man Called Ove: A Novel,SVD (k=20)
