user,avg
1209,3.33
1212,5.0
1215,1.0
1216,4.0
1221,5.0
1222,3.78
1223,2.67
1224,4.0
1225,4.0
1230,3.33
1237,4.0
1246,5.0
1249,4.0
1274,3.5
1278,5.0
1279,4.0
1281,3.5
1282,4.25
1287,2.5
1290,3.75
1291,4.0
1301,3.0
1309,3.33
1311,3.67
1312,4.5
1313,4.0
1317,2.75
1325,3.5
1334,3.53
1338,3.8
1339,4.0
1341,3.0
1345,4.0
1352,5.0
1357,3.0
1358,5.0
1368,5.0
1369,3.2
1376,4.6
1378,3.6
1380,4.0
1381,3.67
1394,4.0
1400,3.0
1409,4.5
1416,5.0
1419,3.78
1433,3.36
1439,5.0
1442,3.5
1446,2.82
1447,3.0
1455,3.0
1457,4.0
1468,1.0
1469,5.0
1472,2.5
1475,3.67
1481,4.5
1484,2.67
1498,3.0
1509,4.5
1510,3.67
1530,3.5
1546,1.0
1548,3.0
1549,5.0
1557,3.5
1565,3.67
1570,4.0
1573,4.12
1577,3.33
1581,4.33
1582,3.0
1584,4.0
1592,1.0
1601,3.44
1607,3.33
1611,4.0
1618,3.0
1623,5.0
1625,3.67
1629,3.29
1632,3.5
1637,3.0
1643,2.0
1651,1.0
1653,4.14
1655,4.0
1661,3.0
1669,4.0
1674,4.0
1677,3.0
1681,3.0
1694,2.5
1701,4.0
1703,3.0
1707,3.8
1713,4.33
1714,4.0
1722,5.0
1725,1.0
1729,3.47
1735,4.0
1738,4.0
1740,3.0
1746,4.0
1747,2.0
1755,2.44
1770,4.5
1773,3.0
1777,3.5
1778,4.0
1790,3.67
1792,3.0
1813,3.75
1815,3.0
1825,4.75
1829,4.17
1834,2.6
1836,5.0
1838,4.25
1839,4.5
1840,4.0
1843,5.0
1846,1.0
1847,5.0
1855,3.33
1858,3.75
1869,3.0
1873,2.5
1875,5.0
1876,3.12
1884,3.0
1891,4.33
1904,1.0
1909,4.0
1912,5.0
1915,3.0
1917,2.0
1918,3.5
1923,4.0
1927,4.33
1930,4.0
1931,3.62
1953,2.67
1958,4.0
1959,2.88
1970,3.57
1971,4.0
1972,3.54
1983,3.0
1984,3.7
1989,2.5
1999,4.0
2006,3.0
2012,2.0
2015,4.17
2018,4.0
2021,4.0
2024,3.67
2026,3.5
2028,3.0
2030,2.5
2033,3.0
2040,4.0
2043,3.6
2044,4.0
2047,3.55
2055,4.0
2061,4.5
2064,3.38
2069,2.0
2081,3.71
2085,3.0
2092,2.5
2097,4.0
2107,3.5
2109,3.0
2114,2.33
2117,1.83
2118,4.0
2119,3.2
2120,4.0
2125,5.0
2133,2.0
2140,4.5
2147,2.5
2150,3.0
2151,3.25
2152,3.0
2153,3.67
2161,3.88
2162,1.0
2177,4.0
2184,3.25
2185,3.0
2188,3.88
2189,3.0
2191,2.88
2193,2.25
2197,3.6
2201,5.0
2204,4.2
2206,4.5
2209,4.0
2214,2.5
2217,3.17
2221,3.5
2225,2.0
2226,4.0
2232,3.59
2238,4.0
2248,3.6
2249,4.0
2259,3.75
2274,3.4
2277,1.0
2279,4.0
2280,4.5
2285,3.0
2286,4.5
2289,3.56
2293,5.0
2294,4.0
2295,1.5
2299,1.67
2303,3.5
2312,3.5
2313,4.0
2322,3.33
2323,3.0
2330,4.2
2332,3.0
2335,3.43
2345,4.0
2350,3.0
2354,4.0
2361,2.75
2362,3.0
2370,3.2
2373,3.0
2374,2.88
2378,3.5
2379,4.0
2393,5.0
2408,4.0
2413,2.0
2419,4.0
2420,4.0
2423,4.6
2426,4.0
2427,4.67
2430,3.67
2438,4.0
2443,5.0
2444,2.14
2445,4.0
2446,4.0
2454,2.5
2455,4.0
2456,4.0
2461,3.33
2468,4.0
2475,4.0
2482,4.67
2484,2.89
2487,2.25
2490,2.0
2494,4.0
2501,4.0
2503,4.0
2509,4.6
2514,4.33
2517,3.71
2525,5.0
2533,2.0
2545,2.0
2558,3.88
2564,4.0
2565,4.25
2572,4.0
2573,4.0
2576,3.0
2582,5.0
2583,3.5
2584,3.0
2585,3.0
2586,5.0
2590,4.5
2593,3.0
2597,4.0
2598,4.0
2599,2.0
2601,4.0
2606,3.75
2608,3.33
2609,3.25
2610,3.5
2617,4.5
2626,4.25
2633,5.0
2645,3.5
2656,2.5
2659,3.5
2660,3.0
2663,2.5
2667,2.0
2672,2.0
2675,3.67
2676,3.0
2677,3.0
2680,3.0
2684,4.33
2691,3.25
2696,3.0
2702,4.33
2704,3.5
2706,5.0
2713,5.0
2714,3.5
2715,3.0
2718,3.85
2722,3.0
2724,2.0
2735,3.5
2745,3.0
2748,2.0
2751,4.0
2756,3.57
2762,3.33
2768,5.0
2772,3.31
2791,3.0
2798,3.0
2803,3.0
2805,5.0
2808,4.5
2812,4.5
2818,4.0
2821,4.0
2827,3.0
2831,3.0
2839,3.5
2854,3.5
2855,3.22
2856,2.33
2874,3.0
2876,4.0
2879,4.5
2887,2.0
2888,3.0
2895,1.0
2897,4.0
2898,3.9
2899,3.8
2900,3.5
2902,3.43
2903,4.0
2907,4.67
2909,3.14
2915,3.67
2921,3.0
2928,3.62
2931,4.0
2937,3.0
2939,3.0
2946,3.0
2947,3.67
2958,4.5
2962,1.0
2967,3.67
2975,4.0
2978,3.67
2979,5.0
2986,4.0
2987,1.0
2988,3.17
2995,2.8
2998,4.0
3000,4.0
3002,4.0
3011,4.0
3016,3.5
3025,3.0
3040,4.33
3042,4.0
3061,4.5
3065,3.0
3066,5.0
3069,2.75
3071,3.0
3074,5.0
3075,4.0
3080,3.5
3082,3.0
3088,2.8
3095,4.0
3100,4.0
3101,3.75
3106,3.17
3108,3.0
3113,3.67
3119,3.0
3127,3.38
3132,3.67
3133,3.0
3135,3.67
3141,3.0
3143,4.0
3145,3.0
3146,4.17
3159,3.5
3161,2.0
3163,3.25
3175,4.0
3179,3.0
3182,4.0
3183,4.0
3184,4.17
3188,3.0
3189,3.0
3194,3.33
3195,3.5
3206,3.5
3207,3.64
3209,4.0
3210,3.67
3211,3.0
3222,5.0
3223,3.5
3224,2.0
3233,2.67
3235,1.0
3237,2.5
3239,4.5
3242,3.0
3245,5.0
3249,3.75
3254,3.0
3255,4.0
3258,5.0
3263,3.86
3270,4.0
3277,3.22
3280,3.0
3282,5.0
3283,3.0
3287,4.0
3289,3.31
3291,4.5
3293,3.5
3307,3.0
3317,4.0
3318,2.96
3324,4.0
3327,2.0
3329,2.0
3338,3.33
3344,3.56
3346,1.0
3347,4.0
3349,3.0
3350,4.0
3356,3.43
3357,5.0
3358,2.0
3359,5.0
3369,4.0
3377,5.0
3399,2.0
3400,3.33
3401,1.5
3407,3.0
3409,5.0
3411,5.0
3412,3.67
3419,5.0
3423,4.0
3425,5.0
3426,3.67
3427,2.67
3428,3.67
3433,4.0
3434,2.0
3439,2.75
3456,3.0
3457,3.55
3459,3.0
3461,3.33
3462,4.0
3463,4.0
3469,3.4
3474,4.0
3476,3.67
3478,4.0
3484,4.0
3485,4.0
3491,3.25
3497,3.5
3498,3.0
3507,4.0
3512,4.0
3515,4.1
3517,3.33
3518,4.0
3520,4.5
3532,2.0
3533,4.0
3534,3.6
3537,3.2
3541,5.0
3547,3.0
3548,3.5
3552,3.0
3564,5.0
3570,3.0
3577,5.0
3580,4.75
3583,3.67
3585,4.0
3587,4.0
3589,3.43
3593,4.0
3597,3.14
3604,3.5
3605,4.0
3606,3.5
3612,4.0
3616,3.0
3621,3.67
3630,2.67
3634,4.0
3640,2.5
3642,5.0
3650,1.0
3656,2.6
3661,3.0
3666,3.0
3667,3.0
3671,2.67
3673,3.0
3674,4.0
3682,4.0
3691,1.0
3693,4.0
3697,3.17
3699,1.0
3701,3.5
3702,2.0
3703,2.75
3704,3.79
3718,5.0
3723,1.0
3726,3.0
3727,3.5
3731,3.0
3737,3.33
3738,3.33
3739,3.5
3745,3.67
3746,2.92
3748,3.0
3751,4.5
3752,4.5
3764,4.0
3766,5.0
3771,3.0
3775,2.4
3782,4.0
3788,4.0
3792,2.75
3794,4.0
3795,3.0
3796,3.5
3797,3.25
3799,3.5
3801,2.0
3815,4.0
3816,3.8
3818,3.67
3827,3.7
3832,5.0
3834,4.0
3843,4.33
3846,4.2
3850,3.0
3854,4.0
3855,3.0
3856,4.4
3858,2.6
3859,3.0
3863,2.75
3871,4.67
3872,3.0
3876,2.57
3879,4.2
3885,3.5
3892,4.0
3894,3.67
3895,4.0
3899,3.5
3900,4.0
3902,3.0
3903,4.33
3907,2.96
3910,4.25
3925,4.0
3926,4.5
3927,2.91
3928,3.33
3934,3.33
3942,4.0
3943,3.0
3946,5.0
3951,4.0
3960,4.33
3973,2.0
3980,3.67
3999,4.33
4010,2.5
4011,4.5
4022,3.7
4029,2.5
4033,4.12
4035,4.0
4043,3.33
4048,3.5
4051,4.0
4052,2.5
4056,4.0
4058,2.5
4067,3.25
4074,4.33
4083,3.71
4084,4.12
4085,4.33
4086,4.0
4105,4.0
4110,4.0
4111,1.0
4116,5.0
4118,3.5
4127,3.5
4135,3.6
4138,4.0
4139,4.0
4140,2.5
4146,2.33
4155,2.67
4161,3.67
4169,2.67
4170,2.5
4175,3.0
4176,5.0
4181,4.0
4183,4.43
4186,4.0
4187,3.25
4192,3.0
4199,3.0
4201,4.5
4207,3.0
4215,3.64
4219,5.0
4220,3.6
4225,3.0
4230,4.0
4236,2.0
4240,5.0
4253,2.5
4254,3.67
4258,4.5
4259,4.0
4263,5.0
4273,4.0
4276,3.21
4282,4.67
4283,3.5
4285,3.21
4292,2.67
4302,3.57
4306,3.0
4312,5.0
4314,3.0
4318,5.0
4321,4.0
4322,1.0
4327,4.33
4330,4.0
4338,4.0
4340,3.8
4345,3.0
4350,3.0
4353,4.0
4356,1.5
4363,3.0
4365,4.0
4371,3.0
4375,3.0
4389,3.82
4390,4.12
4399,3.5
4402,3.75
4406,3.33
4407,4.0
4408,4.0
4413,4.33
4414,4.0
4419,3.0
4423,3.13
4431,5.0
4432,3.8
4439,3.2
4456,3.0
4458,2.0
4462,2.0
4463,5.0
4464,3.0
4467,3.5
4469,3.5
4475,3.0
4476,4.0
4477,4.0
4489,4.33
4492,4.0
4495,4.0
4502,4.5
4504,2.0
4505,1.0
4517,2.0
4518,5.0
4521,3.0
4524,2.0
4525,3.67
4527,3.5
4528,3.0
4529,3.05
4538,5.0
4548,3.13
4553,4.33
4557,4.5
4559,4.0
4563,4.11
4574,4.25
4583,3.5
4587,3.21
4588,3.0
4594,3.87
4596,4.0
4610,3.0
4612,2.5
4623,4.0
4634,4.29
4635,2.67
4636,3.6
4639,5.0
4640,3.0
4641,3.44
4642,3.0
4644,4.67
4653,3.0
4655,4.0
4658,3.5
4660,3.44
4661,2.67
4682,3.5
4695,2.0
4701,4.0
4706,4.0
4715,3.0
4721,2.5
4722,4.0
4724,3.0
4725,3.25
4732,4.0
4733,4.0
4736,3.0
4740,1.5
4745,4.0
4746,4.0
4758,4.0
4772,3.14
4776,2.67
4783,5.0
4789,3.0
4794,2.6
4798,2.67
4802,3.5
4818,3.5
4822,4.44
4831,2.33
4832,3.0
4836,3.33
4841,3.75
4847,4.0
4852,3.0
4861,1.0
4862,3.0
4865,5.0
4869,2.0
4877,3.75
4878,4.0
4886,3.0
4888,4.5
4903,2.75
4907,2.0
4909,3.33
4910,4.67
4913,4.0
4914,3.56
4922,4.0
4923,4.0
4924,2.75
4930,3.5
4935,2.0
4937,2.73
4940,4.0
4946,5.0
4951,2.0
4952,3.75
4961,1.67
4963,4.0
4967,3.45
4970,4.75
4971,5.0
4978,3.67
4991,5.0
4997,3.5
5007,3.67
5010,3.67
5012,3.0
5015,3.33
5018,4.0
5026,3.0
5033,3.0
5046,2.22
5047,3.0
5049,3.67
5051,5.0
5053,4.0
5054,5.0
5064,4.0
5066,4.0
5071,4.33
5074,2.62
5078,5.0
5080,3.89
5090,4.33
5108,5.0
5115,5.0
5116,4.0
5123,3.33
5126,1.0
5135,3.0
5143,3.0
5152,3.0
5155,3.65
5157,3.83
5169,4.0
5173,3.4
5177,3.5
5178,3.55
5179,2.0
5184,1.0
5186,3.83
5199,4.0
5204,4.0
5212,3.0
5220,4.0
5227,3.0
5228,1.0
5230,3.5
5233,3.0
5234,4.0
5251,3.6
5268,3.0
5285,2.0
5292,5.0
5295,2.33
5304,3.0
5306,3.0
5309,3.5
5311,2.0
5317,3.0
5318,4.0
5319,3.33
5329,3.57
5330,3.5
5332,2.67
5335,1.0
5342,3.0
5351,3.25
5356,4.0
5368,4.0
5374,3.67
5381,4.0
5387,5.0
5394,3.0
5403,4.0
5406,4.0
5407,3.0
5411,4.0
5412,4.33
5415,4.0
5417,4.0
5420,3.5
5427,3.0
5435,4.0
5436,3.0
5445,2.0
5448,2.5
5451,4.0
5453,3.71
5460,3.0
5461,3.5
5466,2.78
5467,4.0
5470,1.0
5484,5.0
5492,4.0
5494,3.5
5499,5.0
5503,4.0
5504,2.76
5506,3.24
5507,3.75
5509,4.0
5514,3.83
5515,3.88
5516,5.0
5521,3.5
5523,3.75
5525,4.0
5530,4.0
5539,2.0
5542,4.0
5544,4.5
5546,4.62
5550,3.0
5555,4.0
5556,4.0
5559,3.0
5567,3.0
5574,4.75
5577,2.0
5582,4.33
5584,5.0
5590,3.67
5591,2.0
5596,2.5
5597,4.0
5599,4.0
5611,4.0
5615,4.0
5618,3.75
5622,3.67
5638,3.5
5641,4.0
5643,4.0
5650,3.5
5655,4.0
5658,2.57
5662,3.0
5668,5.0
5670,3.0
5673,3.5
5687,4.0
5695,3.75
5707,2.0
5715,5.0
5721,3.0
5723,4.0
5724,3.0
5725,3.88
5735,3.0
5736,2.0
5742,3.25
5748,3.75
5753,4.25
5758,5.0
5766,4.0
5774,3.0
5777,3.0
5787,4.0
5791,3.62
5792,3.0
5800,2.5
5805,4.5
5807,5.0
5813,3.33
5814,3.57
5818,1.0
5822,4.25
5827,3.83
5831,4.5
5833,3.0
5839,4.33
5840,3.67
5847,5.0
5855,3.0
5862,5.0
5870,4.0
5878,3.29
5886,3.5
5887,2.75
5889,3.0
5892,3.0
5906,3.0
5908,4.67
5910,3.0
5921,4.14
5922,3.92
5928,5.0
5945,4.0
5954,3.38
5963,4.0
5968,3.0
5970,2.0
5977,2.67
5979,1.0
5980,2.0
5981,5.0
5986,3.5
5992,4.0
5999,3.5
6008,4.33
6010,5.0
6013,4.0
6020,3.43
6023,3.0
6024,4.0
6026,3.75
6028,3.0
6029,4.0
6048,4.0
6058,2.0
6061,4.0
6063,4.0
6064,3.5
6070,2.25
6073,3.0
6084,3.5
6090,4.0
6091,2.0
6092,3.33
6096,3.5
6099,3.67
6101,3.0
6105,5.0
6114,3.9
6125,5.0
6126,5.0
6129,2.0
6132,3.45
6134,3.0
6147,3.0
6148,4.4
6150,3.78
6152,2.55
6158,4.5
6160,3.5
6164,5.0
6167,3.14
6168,4.0
6188,3.33
6193,2.5
6199,4.0
6201,4.0
6202,3.0
6203,5.0
6204,4.0
6211,2.0
6232,3.69
6233,4.12
6246,2.5
6248,3.0
6253,2.0
6264,4.33
6274,3.0
6279,4.0
6288,2.5
6289,5.0
6295,1.0
6302,3.0
6304,3.5
6309,5.0
6315,5.0
6316,3.57
6322,3.67
6326,4.0
6330,5.0
6334,5.0
6338,4.0
6342,4.0
6361,3.0
6364,4.0
6366,3.21
6368,3.5
6372,3.0
6378,3.6
6391,4.0
6397,4.0
6398,3.0
6405,3.0
6415,3.0
6419,4.5
6425,3.0
6429,3.15
6431,3.75
6434,2.0
6438,4.0
6456,3.0
6460,3.0
6463,4.5
6465,3.29
6471,5.0
6472,3.5
6480,4.0
6485,4.0
6486,4.0
6487,3.0
6489,4.0
6490,3.0
6499,3.0
6506,3.5
6521,5.0
6527,2.6
6540,3.67
6551,3.5
6553,4.0
6558,2.5
6571,3.14
6587,3.5
6590,3.0
6597,2.29
6598,3.0
6602,3.25
6604,3.75
6607,4.4
6608,3.0
6618,4.33
6621,3.4
6638,5.0
6647,4.0
6659,1.0
6661,4.67
6670,4.5
6676,3.75
6679,1.0
6683,5.0
6688,4.0
6708,4.0
6714,1.0
6715,3.33
6720,3.67
6721,4.0
6723,5.0
6727,2.14
6732,4.0
6750,5.0
6759,2.0
6760,4.0
6764,5.0
6778,2.0
6779,1.0
6781,3.33
6793,5.0
6808,5.0
6818,3.0
6820,3.0
6825,4.5
6835,3.0
6842,4.5
6843,3.0
6848,2.0
6856,5.0
6867,3.0
6869,1.0
6884,3.33
6886,2.0
6889,2.86
6899,4.0
6915,4.3
6917,2.67
6918,4.0
6921,3.45
6929,3.0
6932,3.5
6933,3.0
6935,3.5
6952,3.62
6953,3.5
6956,2.5
6962,1.0
6965,4.0
6969,3.0
6975,3.0
6989,3.0
6997,3.0
7002,4.0
7005,4.0
7010,3.25
7017,3.33
7019,4.5
7026,3.75
7027,2.0
7028,4.5
7036,2.95
7038,4.14
7047,3.75
7049,3.0
7051,4.04
7055,5.0
7063,4.0
7065,3.5
7067,3.0
7072,3.5
7080,3.67
7083,3.8
7084,3.0
7085,3.0
7087,4.0
7088,4.5
7091,4.0
7093,4.0
7094,4.0
7115,3.0
7119,2.5
7121,4.5
7124,3.0
7127,5.0
7132,3.0
7138,3.5
7140,3.0
7150,1.0
7151,1.0
7166,3.0
7167,1.0
7168,2.5
7173,1.6
7174,3.0
7178,3.0
7184,3.57
7185,3.64
7196,1.0
7208,1.5
7229,3.5
7233,5.0
7252,5.0
7254,4.0
7264,5.0
7265,3.33
7268,3.0
7278,3.0
7282,3.0
7283,3.0
7284,5.0
7298,2.75
7301,3.0
7312,5.0
7316,3.0
7321,3.26
7324,4.2
7341,4.0
7343,4.0
7348,2.88
7349,3.0
7371,3.27
7372,3.5
7373,2.5
7374,4.0
7376,3.0
7377,3.53
7379,5.0
7382,4.0
7386,3.5
7393,2.0
7396,2.5
7406,4.0
7416,3.8
7424,4.0
7429,3.4
7431,3.33
7432,3.0
7433,3.0
7436,3.5
7439,4.0
7441,2.6
7449,4.5
7453,5.0
7461,2.0
7466,2.0
7470,2.0
7477,3.67
7482,3.0
7487,3.62
7495,3.0
7496,4.25
7509,3.5
7511,3.33
7512,3.5
7513,5.0
7516,2.0
7532,2.0
7533,4.0
7535,3.6
7536,4.0
7538,2.0
7542,3.33
7544,4.0
7545,3.4
7546,3.75
7553,4.0
7559,4.5
7566,3.33
7588,3.5
7597,4.0
7603,4.0
7604,3.25
7607,4.33
7614,3.83
7623,4.5
7635,4.25
7636,1.0
7642,1.0
7643,2.0
7646,2.0
7649,4.0
7663,2.86
7664,3.0
7670,3.0
7677,3.8
7686,3.38
7689,4.5
7691,3.0
7700,1.0
7702,2.0
7710,4.0
7720,3.67
7724,3.5
7737,3.0
7739,3.5
7743,1.33
7746,3.0
7756,4.0
7757,3.83
7758,4.25
7764,3.5
7766,4.0
7771,4.0
7778,4.25
7784,3.36
7786,4.5
7803,2.75
7808,4.0
7809,3.5
7814,1.0
7821,4.0
7827,5.0
7853,4.0
7856,3.5
7858,3.59
7860,3.0
7865,3.0
7873,4.0
7877,4.5
7880,4.0
7881,2.6
7882,3.86
7885,4.0
7888,4.0
7891,4.0
7892,3.33
7899,3.53
7910,4.5
7916,2.86
7919,2.5
7922,4.0
7924,5.0
7934,5.0
7936,4.0
7939,4.0
7940,2.64
7949,3.8
7954,3.09
7959,3.83
7961,5.0
7963,4.08
7964,3.0
7969,3.67
7972,1.0
7983,3.75
7985,4.0
7989,3.5
7996,3.0
7998,4.25
8001,4.5
8002,3.2
8003,4.0
8004,5.0
8010,4.0
8024,5.0
8029,3.57
8030,4.0
8040,4.25
8043,3.25
8047,3.0
8051,3.75
8052,3.0
8059,3.0
8064,3.0
8067,4.0
8073,3.0
8082,4.11
8085,4.0
8098,3.43
8099,3.56
8100,4.0
8108,4.0
8112,4.0
8121,4.5
8125,5.0
8128,3.6
8129,3.0
8134,2.0
8136,3.5
8143,4.0
8147,3.5
8153,3.25
8156,4.0
8158,2.75
8169,4.2
8178,3.0
8185,4.4
8186,2.5
8195,3.5
8196,1.0
8197,3.07
8201,3.0
8208,1.0
8212,3.25
8214,4.0
8219,5.0
8222,3.6
8224,3.0
8226,5.0
8228,1.5
8230,3.5
8233,3.0
8235,5.0
8239,5.0
8243,3.0
8258,3.83
8259,4.0
8263,2.75
8266,3.0
8267,5.0
8280,2.0
8283,2.0
8284,4.2
8285,2.0
8288,4.0
8296,3.0
8299,4.0
8307,3.89
8308,3.67
8309,2.0
8315,3.33
8325,3.4
8342,3.0
8343,4.5
8345,3.67
8351,3.0
8356,3.5
8358,4.0
8361,3.0
8370,2.5
8375,3.0
8376,5.0
8380,4.2
8391,3.53
8398,4.0
8403,4.0
8404,3.43
8405,3.34
8407,3.0
8410,3.8
8412,4.33
8414,4.0
8419,4.0
8424,2.0
8425,4.0
8426,2.5
8427,3.0
8432,2.0
8435,3.5
8436,1.0
8443,2.33
8446,4.0
8459,2.6
8462,3.75
8464,3.0
8469,2.67
8470,4.0
8475,3.75
8482,4.0
8483,5.0
8485,3.0
8503,4.0
8514,3.07
8518,4.33
8521,3.8
8533,3.67
8534,4.67
8536,3.5
8537,5.0
8541,3.11
8542,2.5
8545,3.0
8558,3.5
8565,3.0
8574,5.0
8575,4.0
8577,2.83
8578,3.67
8579,3.67
8588,2.75
8594,5.0
8601,3.2
8610,2.25
8611,4.0
8613,3.0
8614,2.0
8621,4.0
8626,3.0
8632,4.0
8644,3.32
8647,3.29
8650,3.5
8655,3.0
8656,4.0
8659,2.0
8663,2.0
8665,3.2
8666,3.5
8689,3.0
8691,3.0
8694,4.67
8700,3.5
8707,2.5
8712,4.0
8716,4.0
8721,2.5
8724,3.67
8737,4.25
8738,3.14
8739,3.48
8747,4.0
8748,3.8
8753,4.5
8755,4.0
8759,5.0
8764,2.0
8767,3.67
8771,4.0
8777,2.0
8782,3.0
8784,4.53
8785,4.0
8786,3.0
8790,3.0
8793,3.67
8800,3.0
8801,3.0
8805,3.15
8806,5.0
8822,3.0
8826,5.0
8828,3.0
8832,5.0
8836,3.0
8837,3.33
8842,4.0
8848,4.0
8850,4.0
8851,3.0
8860,1.0
8868,3.67
8869,2.0
8873,4.5
8876,3.0
8880,5.0
8886,5.0
8887,3.0
8897,3.67
8901,1.0
8902,3.67
8908,5.0
8910,3.0
8913,1.67
8918,3.67
8919,3.67
8931,4.5
8933,3.33
8935,3.0
8947,2.83
8948,2.5
8949,2.0
8954,4.0
8963,3.04
8965,4.0
8975,4.0
8988,5.0
8997,3.0
8999,4.25
9003,4.0
9007,3.0
9011,5.0
9012,3.0
9013,1.0
9023,4.0
9026,3.6
9027,2.0
9033,3.0
9042,3.29
9047,3.0
9050,2.0
9055,4.0
9057,3.5
9061,3.0
9069,1.0
9079,3.0
9082,4.0
9083,3.0
9088,4.0
9091,4.0
9098,4.33
9101,4.0
9102,4.0
9106,3.33
9108,4.0
9109,2.69
9116,2.66
9121,3.6
9125,3.0
9162,4.33
9173,3.5
9174,1.0
9184,2.25
9191,5.0
9193,3.33
9195,3.0
9196,4.0
9203,4.0
9209,3.0
9216,1.0
9219,4.5
9227,3.75
9230,4.0
9232,2.5
9233,3.0
9235,3.0
9240,3.5
9244,4.5
9252,3.0
9261,3.0
9262,5.0
9269,3.33
9272,4.25
9279,4.0
9280,2.5
9281,4.0
9288,4.0
9291,4.0
9294,3.67
9296,3.5
9301,5.0
9303,3.0
9309,2.5
9310,2.0
9314,1.0
9318,2.5
9320,3.6
9321,3.0
9322,4.14
9326,5.0
9340,5.0
9343,3.0
9354,4.0
9357,3.67
9378,2.5
9382,4.5
9385,3.5
9387,3.0
9389,4.0
9393,4.0
9398,2.0
9403,2.76
9415,4.5
9419,3.33
9423,3.67
9426,4.0
9430,2.0
9434,3.6
9439,5.0
9443,2.0
9447,4.0
9449,5.0
9450,3.0
9464,4.0
9467,4.0
9474,2.0
9476,3.5
9478,4.0
9481,3.5
9493,5.0
9497,3.88
9500,4.25
9505,4.25
9508,3.0
9512,2.75
9530,4.0
9532,3.5
9533,4.5
9534,5.0
9537,3.67
9543,3.33
9549,4.14
9551,1.5
9562,4.13
9567,4.0
9571,1.0
9575,3.33
9581,2.0
9583,4.0
9585,1.0
9587,5.0
9599,4.0
9601,2.67
9614,3.14
9619,3.25
9620,3.0
9625,4.5
9629,3.5
9634,4.0
9636,3.0
9642,3.0
9644,4.0
9645,3.44
9653,3.33
9654,3.29
9666,5.0
9667,3.5
9685,4.0
9686,4.6
9694,2.5
9705,3.0
9706,4.0
9707,4.0
9714,1.0
9715,3.0
9716,2.0
9727,3.0
9728,3.0
9731,4.0
9736,4.5
9739,4.0
9751,3.0
9752,3.0
9762,3.33
9763,4.5
9766,4.0
9767,2.67
9778,2.0
