item,sum
4114,40.0
100553,43.0
72159,18.0
87685,11.0
88075,6.0
99861,43.0
117851,73.0
55154,40.0
55751,7.0
60618,9.0
70869,17.0
74086,3.0
78422,11.0
127321,14.0
73488,84.0
63458,41.0
92210,57.0
60213,48.0
119705,2.0
33117,20.0
46525,17.0
49615,78.0
76089,26.0
84836,4.0
50886,63.0
108501,83.0
38164,48.0
26379,87.0
41025,137.0
65259,47.0
104089,36.0
43838,60.0
62153,38.0
103784,15.0
118688,9.0
32013,42.0
104392,4.0
7127,68.0
62245,77.0
114599,3.0
51060,37.0
94739,34.0
95816,52.0
95157,11.0
66586,4.0
7363,7.0
97742,76.0
50594,100.0
34666,35.0
73981,53.0
98219,6.0
81411,17.0
33132,18.0
77326,18.0
78130,11.0
85783,12.0
117893,16.0
121253,15.0
121366,9.0
126749,11.0
77672,34.0
54254,27.0
107306,9.0
101765,34.0
82857,28.0
85273,15.0
97010,3.0
96629,16.0
106475,4.0
113800,3.0
115111,11.0
31000,61.0
70543,27.0
74263,26.0
110056,3.0
110409,7.0
128445,8.0
93574,24.0
100085,14.0
79003,12.0
51187,87.0
100060,4.0
120763,1.0
107539,14.0
126939,4.0
126957,4.0
97775,10.0
120610,7.0
3321,15.0
79228,13.0
124825,1.0
125359,4.0
96239,17.0
83248,16.0
89623,10.0
89516,8.0
109526,3.0
113843,4.0
72931,9.0
101812,11.0
130083,4.0
115502,13.0
69483,37.0
78885,3.0
93212,72.0
67098,56.0
76121,9.0
103003,4.0
85360,16.0
75808,13.0
25775,44.0
130502,4.0
101158,12.0
5702,8.0
127270,3.0
7878,31.0
88378,6.0
105450,1.0
107402,6.0
129227,4.0
69811,3.0
86453,11.0
93168,11.0
110267,9.0
110503,16.0
97906,4.0
128616,11.0
25948,26.0
87076,10.0
33142,7.0
79461,10.0
103838,11.0
110063,3.0
98922,19.0
99240,4.0
100103,1.0
92481,13.0
107075,5.0
119629,6.0
121457,4.0
52942,13.0
84450,14.0
86438,4.0
87994,14.0
91560,7.0
115524,4.0
108237,2.0
110850,7.0
107836,4.0
3458,11.0
99497,2.0
106208,2.0
112277,4.0
105310,2.0
106431,11.0
108588,2.0
108590,2.0
108685,2.0
128099,6.0
129391,3.0
73060,9.0
97886,7.0
101710,10.0
101719,11.0
70421,7.0
80655,6.0
89114,9.0
121211,1.0
114842,1.0
87880,11.0
8668,7.0
25894,28.0
33767,11.0
79925,7.0
101446,3.0
109032,3.0
93752,15.0
116441,4.0
130784,4.0
91589,6.0
117504,4.0
91446,11.0
101717,10.0
108425,2.0
43631,7.0
110320,3.0
131148,4.0
131154,4.0
72657,3.0
30764,9.0
114238,4.0
111716,3.0
117624,3.0
126124,2.0
129405,5.0
126586,4.0
130298,4.0
72022,6.0
70537,14.0
98989,5.0
106634,6.0
110116,3.0
27657,3.0
105096,8.0
111882,4.0
102852,3.0
114172,4.0
52173,7.0
66539,5.0
103653,6.0
104817,3.0
108674,3.0
111261,6.0
129739,5.0
102028,4.0
121300,4.0
117750,2.0
112948,4.0
117907,5.0
125992,3.0
111850,3.0
129771,4.0
93544,1.0
108503,2.0
112249,4.0
116600,4.0
112383,3.0
120524,2.0
120903,4.0
122855,2.0
125652,3.0
128399,3.0
72822,13.0
90260,4.0
31152,8.0
99347,2.0
89829,4.0
94786,4.0
97847,1.0
114698,5.0
118292,1.0
119133,3.0
107951,4.0
117859,1.0
91745,4.0
95517,5.0
120833,3.0
