ItemID,RatingCount,Popularity
72159,4,Medium Popularity
72310,5,Medium Popularity
72552,7,Medium Popularity
72657,1,Low Popularity
72822,4,Medium Popularity
72931,2,Low Popularity
73060,3,Low Popularity
73488,29,Medium Popularity
73681,35,High Popularity
73981,14,Medium Popularity
74086,1,Low Popularity
74263,8,Medium Popularity
74791,40,High Popularity
75808,4,Medium Popularity
76085,7,Medium Popularity
76089,7,Medium Popularity
76121,3,Low Popularity
77326,6,Medium Popularity
77672,10,Medium Popularity
78041,105,High Popularity
78130,4,Medium Popularity
78422,3,Low Popularity
78885,1,Low Popularity
79003,3,Low Popularity
79228,4,Medium Popularity
79461,3,Low Popularity
79925,2,Low Popularity
79936,5,Medium Popularity
80432,9,Medium Popularity
80655,2,Low Popularity
80775,39,High Popularity
81411,4,Medium Popularity
81546,7,Medium Popularity
81804,46,High Popularity
82857,9,Medium Popularity
82904,14,Medium Popularity
83248,5,Medium Popularity
83437,4,Medium Popularity
83616,6,Medium Popularity
84181,1,Low Popularity
84450,4,Medium Popularity
84836,2,Low Popularity
85273,5,Medium Popularity
85360,6,Medium Popularity
85783,3,Low Popularity
86347,221,High Popularity
86438,1,Low Popularity
86453,3,Low Popularity
87076,3,Low Popularity
87685,4,Medium Popularity
87880,4,Medium Popularity
87994,4,Medium Popularity
88075,3,Low Popularity
88272,20,Medium Popularity
88378,2,Low Popularity
88398,2,Low Popularity
88414,2,Low Popularity
89114,3,Low Popularity
89516,3,Low Popularity
89623,3,Low Popularity
89829,1,Low Popularity
90260,1,Low Popularity
90378,31,High Popularity
90413,8,Medium Popularity
91446,4,Medium Popularity
91560,2,Low Popularity
91589,2,Low Popularity
91745,1,Low Popularity
92210,14,Medium Popularity
92391,28,Medium Popularity
92481,3,Low Popularity
92507,154,High Popularity
93168,3,Low Popularity
93212,20,Medium Popularity
93510,403,High Popularity
93544,1,Low Popularity
93570,6,Medium Popularity
93574,6,Medium Popularity
93752,4,Medium Popularity
94405,64,High Popularity
94739,10,Medium Popularity
94786,1,Low Popularity
95157,3,Low Popularity
95449,100,High Popularity
95517,1,Low Popularity
95604,5,Medium Popularity
95816,15,Medium Popularity
96239,4,Medium Popularity
96467,37,High Popularity
96514,5,Medium Popularity
96629,5,Medium Popularity
96909,7,Medium Popularity
97010,1,Low Popularity
97024,63,High Popularity
97742,28,Medium Popularity
97775,2,Low Popularity
97847,1,Low Popularity
97870,70,High Popularity
97886,2,Low Popularity
97906,1,Low Popularity
98219,2,Low Popularity
98922,5,Medium Popularity
98989,2,Low Popularity
99240,1,Low Popularity
99347,1,Low Popularity
99497,1,Low Popularity
99861,12,Medium Popularity
99904,2,Low Popularity
99962,2,Low Popularity
100060,1,Low Popularity
100085,4,Medium Popularity
100103,1,Low Popularity
100344,41,High Popularity
100553,9,Medium Popularity
101158,3,Low Popularity
101446,1,Low Popularity
101710,3,Low Popularity
101717,2,Low Popularity
101719,3,Low Popularity
101741,86,High Popularity
101765,8,Medium Popularity
101812,3,Low Popularity
102028,1,Low Popularity
102852,1,Low Popularity
103003,1,Low Popularity
103653,2,Low Popularity
103784,4,Medium Popularity
103838,3,Low Popularity
104089,11,Medium Popularity
104392,1,Low Popularity
104638,3,Low Popularity
104817,1,Low Popularity
105096,2,Low Popularity
105310,1,Low Popularity
105450,1,Low Popularity
105554,2,Low Popularity
106208,1,Low Popularity
106431,3,Low Popularity
106475,1,Low Popularity
106634,2,Low Popularity
107075,2,Low Popularity
107306,2,Low Popularity
107402,2,Low Popularity
107539,4,Medium Popularity
107836,1,Low Popularity
107951,1,Low Popularity
108237,1,Low Popularity
108410,2,Low Popularity
108425,1,Low Popularity
108501,23,Medium Popularity
108503,1,Low Popularity
108588,1,Low Popularity
108590,1,Low Popularity
108674,1,Low Popularity
108685,1,Low Popularity
109032,1,Low Popularity
109526,1,Low Popularity
110056,1,Low Popularity
110063,1,Low Popularity
110116,1,Low Popularity
110127,115,High Popularity
110267,2,Low Popularity
110320,1,Low Popularity
110409,2,Low Popularity
110503,4,Medium Popularity
110850,2,Low Popularity
111261,2,Low Popularity
111364,188,High Popularity
111716,1,Low Popularity
111850,1,Low Popularity
111882,1,Low Popularity
112249,1,Low Popularity
112277,2,Low Popularity
112383,1,Low Popularity
112948,1,Low Popularity
113122,1,Low Popularity
113800,1,Low Popularity
113843,2,Low Popularity
114060,39,High Popularity
114172,1,Low Popularity
114238,1,Low Popularity
114599,1,Low Popularity
114698,1,Low Popularity
114842,1,Low Popularity
115111,3,Low Popularity
115502,3,Low Popularity
115524,1,Low Popularity
116441,1,Low Popularity
116600,1,Low Popularity
117504,1,Low Popularity
117624,1,Low Popularity
117750,1,Low Popularity
117851,21,Medium Popularity
117859,1,Low Popularity
117893,5,Medium Popularity
117907,1,Low Popularity
118272,2,Low Popularity
118292,1,Low Popularity
118688,2,Low Popularity
119133,1,Low Popularity
119629,2,Low Popularity
119705,2,Low Popularity
120524,1,Low Popularity
120610,2,Low Popularity
120763,1,Low Popularity
120833,1,Low Popularity
120903,1,Low Popularity
121211,1,Low Popularity
121253,5,Medium Popularity
121300,1,Low Popularity
121366,3,Low Popularity
121457,1,Low Popularity
122855,1,Low Popularity
124537,1,Low Popularity
124825,1,Low Popularity
125359,1,Low Popularity
125652,1,Low Popularity
125992,1,Low Popularity
126124,1,Low Popularity
126586,1,Low Popularity
126749,4,Medium Popularity
126939,1,Low Popularity
126957,1,Low Popularity
127270,1,Low Popularity
127321,4,Medium Popularity
128099,2,Low Popularity
128399,1,Low Popularity
128445,2,Low Popularity
128616,3,Low Popularity
129227,1,Low Popularity
129391,1,Low Popularity
129405,2,Low Popularity
129739,1,Low Popularity
129771,1,Low Popularity
130083,1,Low Popularity
130298,1,Low Popularity
130502,2,Low Popularity
130784,1,Low Popularity
131148,1,Low Popularity
131154,1,Low Popularity
