item,avg
72310,3.2
113122,4.0
4817,3.33
31600,2.75
4108,3.18
4647,2.43
26338,3.0
55360,3.47
70507,3.6
71677,3.5
72552,2.86
76085,3.29
88398,3.5
90413,3.62
96467,3.49
124537,4.0
80775,3.21
88414,2.0
53906,3.48
84181,4.0
69446,2.75
83437,3.25
79936,4.0
83616,3.0
4114,2.86
100553,4.78
72159,4.5
87685,2.75
88075,2.0
99861,3.58
117851,3.48
55154,3.64
55751,2.33
60618,2.25
70869,3.4
74086,3.0
78422,3.67
127321,3.5
73488,2.9
63458,2.28
92210,4.07
60213,3.69
119705,1.0
33117,4.0
46525,3.4
49615,3.55
76089,3.71
84836,2.0
50886,3.5
108501,3.61
38164,3.69
26379,3.78
41025,3.7
65259,3.62
104089,3.27
43838,2.73
62153,3.45
103784,3.75
118688,4.5
32013,3.5
104392,4.0
7127,2.83
62245,4.28
114599,3.0
51060,3.7
94739,3.4
95816,3.47
95157,3.67
66586,1.33
7363,2.33
97742,2.71
50594,4.0
34666,3.89
73981,3.79
98219,3.0
81411,4.25
33132,2.57
77326,3.0
78130,2.75
85783,4.0
117893,3.2
121253,3.0
121366,3.0
126749,2.75
77672,3.4
54254,3.86
107306,4.5
101765,4.25
82857,3.11
85273,3.0
97010,3.0
96629,3.2
106475,4.0
113800,3.0
115111,3.67
31000,2.77
70543,3.86
74263,3.25
110056,3.0
110409,3.5
128445,4.0
93574,4.0
100085,3.5
79003,4.0
51187,3.78
100060,4.0
120763,1.0
107539,3.5
126939,4.0
126957,4.0
97775,5.0
120610,3.5
3321,3.0
79228,3.25
124825,1.0
125359,4.0
96239,4.25
83248,3.2
89623,3.33
89516,2.67
109526,3.0
113843,2.0
72931,4.5
101812,3.67
130083,4.0
115502,4.33
69483,4.11
78885,3.0
93212,3.6
67098,4.0
76121,3.0
103003,4.0
85360,2.67
75808,3.25
25775,4.0
130502,2.0
101158,4.0
5702,2.0
127270,3.0
7878,3.1
88378,3.0
105450,1.0
107402,3.0
129227,4.0
69811,3.0
86453,3.67
93168,3.67
110267,4.5
110503,4.0
97906,4.0
128616,3.67
25948,3.71
87076,3.33
33142,3.5
79461,3.33
103838,3.67
110063,3.0
98922,3.8
99240,4.0
100103,1.0
92481,4.33
107075,2.5
119629,3.0
121457,4.0
52942,3.25
84450,3.5
86438,4.0
87994,3.5
91560,3.5
115524,4.0
108237,2.0
110850,3.5
107836,4.0
3458,2.75
99497,2.0
106208,2.0
112277,2.0
105310,2.0
106431,3.67
108588,2.0
108590,2.0
108685,2.0
128099,3.0
129391,3.0
73060,3.0
97886,3.5
101710,3.33
101719,3.67
70421,3.5
80655,3.0
89114,3.0
121211,1.0
114842,1.0
87880,2.75
8668,3.5
25894,4.0
33767,3.67
79925,3.5
101446,3.0
109032,3.0
93752,3.75
116441,4.0
130784,4.0
91589,3.0
117504,4.0
91446,2.75
101717,5.0
108425,2.0
43631,3.5
110320,3.0
131148,4.0
131154,4.0
72657,3.0
30764,4.5
114238,4.0
111716,3.0
117624,3.0
126124,2.0
129405,2.5
126586,4.0
130298,4.0
72022,3.0
70537,4.67
98989,2.5
106634,3.0
110116,3.0
27657,1.5
105096,4.0
111882,4.0
102852,3.0
114172,4.0
52173,3.5
66539,2.5
103653,3.0
104817,3.0
108674,3.0
111261,3.0
129739,5.0
102028,4.0
121300,4.0
117750,2.0
112948,4.0
117907,5.0
125992,3.0
111850,3.0
129771,4.0
93544,1.0
108503,2.0
112249,4.0
116600,4.0
112383,3.0
120524,2.0
120903,4.0
122855,2.0
125652,3.0
128399,3.0
72822,3.25
90260,4.0
31152,4.0
99347,2.0
89829,4.0
94786,4.0
97847,1.0
114698,5.0
118292,1.0
119133,3.0
107951,4.0
117859,1.0
91745,4.0
95517,5.0
120833,3.0
